EWJ,iShares MSCI Japan ETF
FXI,iShares China Large-Cap ETF
EWZ,iShares MSCI Brazil Capped ETF
EWT,iShares MSCI Taiwan Capped ETF
EWG,iShares MSCI Germany ETF
EWH,iShares MSCI Hong Kong ETF
EWI,iShares MSCI Italy Capped ETF
EWW,iShares MSCI Mexico Capped ETF
EWU,iShares MSCI United Kingdom ETF
EWY,iShares MSCI South Korea Capped ETF
EWA,iShares MSCI Australia ETF
EWM,iShares MSCI Malaysia ETF
EWS,iShares MSCI Singapore Capped ETF
EWC,iShares MSCI Canada ETF
EWP,iShares MSCI Spain Capped ETF
EWL,iShares MSCI Switzerland ETF
EZA,iShares MSCI South Africa ETF
